2020-03-02T20:53:02,4,1,,,"Snohomish County, WA",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-03-02T03:33:08,2,0,,,"Portland, OR",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-03-02T03:43:02,2,0,,,"Providence, RI",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-02-27T20:33:02,2,0,,,"Sacramento County, CA",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-02-03T03:53:02,2,0,,,"San Benito, CA",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-02-21T05:43:02,2,0,,,"San Diego County, CA",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-02-28T05:23:07,1,0,,," Montreal, QC",Canada,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-02-12T18:53:03,1,0,,,"London, ON",Canada,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-02-28T21:13:12,1,0,,,"Boston, MA",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-03-02T20:33:02,1,0,,,"Grafton County, NH",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-03-02T03:13:25,1,0,,,"Hillsborough, FL",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
2020-02-21T05:13:09,1,0,,,"Humboldt County, CA",US,,,,,-1073442796,176,C:\Users\user\Desktop\SQL SSIS Homework\TermProject\data\format2\03-02-2020.csv,2020-06-01 17:49:45.329000000
